OSID,OSNom,OSReqCoseg,OSEstad,OSFchEstado
1,IPSS - Cod.1,No,Activa,22:41.3
2,OSPIF VISITAR - Cod.2,No,Inactiva,22:41.3
3,CERAMISTA-MIT - Cod.3,No,Inactiva,22:41.3
4, OSPLAD AMBULATO - Cod.4,No,Inactiva,22:41.3
5, PROFE CAPITAL - Cod.5,No,Inactiva,22:41.3
6,AGUA Y ENERGIA - COD.6,No,Activa,22:41.3
7,UNSA - UNIVERSIDAD - Cod.7,No,Activa,22:41.3
9,BANCARIOS - Cod.9,No,Inactiva,22:41.3
10,OSFE ITER MEDICINA - COD.10,No,Inactiva,22:41.3
13,SMATA - Cod.13,No,Inactiva,22:41.3
14,OSSEG - Cod.14,No,Inactiva,22:41.3
16,VISITAR OSPADEP - COD.16,No,Inactiva,22:41.3
17,DOCTHOS SA - Cod.17,No,Inactiva,22:41.3
19,VISITAR OSPERSAAMS O - Cod.19,No,Inactiva,22:41.3
20,POLICIA FEDERAL - Cod.20,No,Inactiva,22:41.3
21,QUALITAS MEDICAS SA - Cod.21,No,Inactiva,22:41.3
22,VISITAR O.S.M.I.T.A - COD.22,No,Inactiva,22:41.3
23,PROFE INTERIOR - Cod.23,No,Inactiva,22:41.3
24,VISITAR O.S.F.E - COD.24,No,Inactiva,22:41.3
25,PERS.TECN.AERONAUT - Cod.25,No,Inactiva,22:41.3
26,VISITAR OSEDEIV - COD.26,No,Inactiva,22:41.3
27,MEDISALTA-TABLA 4 - Cod.27,No,Inactiva,22:41.3
28,INDUST.QUIMICAS - Cod.28,No,Inactiva,22:41.3
29,PAMI CAPITADO - Cod.29,No,Inactiva,22:41.3
30,APTA - Cod.30,No,Inactiva,22:41.3
31,EXAMEN PREOCUPACI - Cod.31,No,Inactiva,22:41.3
32,PODER JUDICIAL - COD.32,No,Activa,22:41.3
33,MS-UNION PERSO  (77) - Cod.33,No,Inactiva,22:41.3
34,OSDE PLAN 2/410 - Cod.34,No,Inactiva,22:41.3
35,OSPES ACLISASA ESTAC - COD.35,No,Inactiva,22:41.3
36,OSDE PLAN 2-210 - Cod.36,No,Inactiva,22:41.3
37,OSDE PLAN 2-310 - Cod.37,No,Inactiva,22:41.3
38,OSFE-VISITAR SRL - COD.38,No,Inactiva,22:41.3
39,CONCEBIR SALUD - Cod.39,No,Inactiva,22:41.3
40,PAMI EXTRACAPITA - Cod.40,No,Inactiva,22:41.3
41,O.S.P.S.A. - SALTA - Cod.41,No,Activa,22:41.3
42,SCIS S.A OSPEDYC,No,Inactiva,22:41.3
43,EMPLEADOS FARMACIA - Cod.43,No,Inactiva,22:41.3
44,VISITAR OSFATUN - COD.44,No,Inactiva,22:41.3
46,MEDICUS,No,Activa,22:41.3
47,ACA SALUD PL.71 Y 21 - Cod.47,No,Inactiva,22:41.3
48,FEDERADA 25 DE JUNIO - Cod.48,No,Inactiva,22:41.3
49,MEDICAL GROUP. - COD.49,No,Activa,22:41.3
50,OSPESGA SALUD - Cod.50,No,Inactiva,22:41.3
51,SUTEP - Cod.51,No,Inactiva,22:41.3
52,OSMATA SIPAS - Cod.52,No,Inactiva,22:41.3
53,VIISTAR OSUTI - COD.53,No,Inactiva,22:41.3
54,OSPAV - VITIVINICOLA - Cod.54,No,Inactiva,22:41.3
55,OSPIL IND LECHERA - COD.55,No,Activa,22:41.3
57,OSPEA - Cod.57,No,Inactiva,22:41.3